hora,pais,na1,evento,actual,prevision,anterior,na2
00:00,COP,,IPC (Anual)  (Nov),"5,30%","5,46%","5,51%",
00:00,COP,,IPC (Mensual)  (Nov),"0,07%","0,20%","0,18%",
